"name","ip_address","fqdn","state","guest_os_fullname","guest_reconciled","memory","sys_class_name","cpus","disks","change_control","bios_uuid","comments","company","correlation_id","sys_created_on","sys_created_by","dns_domain","short_description","discovery_source","disks_size","host_name","sys_domain","environment","first_discovered","server","image_path","install_status","location","mac_address","managed_by_group","managed_by","manufacturer","model_id","model_number","last_discovered","operational_status","delivery_date","order_date","owned_by","serial_number","size","support_group","supported_by","sys_tags","sys_updated_on","sys_updated_by","sys_mod_count","vm_cluster_name","vm_inst_id","vm_instance_uuid","vcenter_uuid","vcenter_ref","guest_id","host_id","vendor"
"DPADatastoreServer","10.123.125.10","idpa-dpads","On","SUSE Linux Enterprise 12 (64-bit)","false","16,384","VMware Virtual Machine Instance","4","2","","421f33cd-ad86-85ea-885f-fac94055e561","","","42 1f 33 cd ad 86 85 ea-88 5f fa c9 40 55 e5 61","2023-05-11 07:24:21","prd_mid","","","ServiceNow","118","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] DPADatastoreServer/DPADatastoreServer.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","501f081f-cdee-56f7-36e8-243fd55ae1a9","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","sles12_64Guest","",""
"AVE","10.123.125.14","idpa-avamar","On","SUSE Linux Enterprise 12 (64-bit)","false","36,864","VMware Virtual Machine Instance","2","4","","421f8cfb-6163-f75e-e3fb-f5d1d097a56e","","","42 1f 8c fb 61 63 f7 5e-e3 fb f5 d1 d0 97 a5 6e","2023-05-11 07:24:21","prd_mid","","","ServiceNow","4,769","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] AVE/AVE.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","501ffd7a-e517-4eac-4673-731b2ecb84e9","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","sles12_64Guest","",""
"DPAApplicationServer","10.123.125.9","idpa-dpaap","On","SUSE Linux Enterprise 12 (64-bit)","false","16,384","VMware Virtual Machine Instance","4","2","","421fbe65-c192-da84-58a3-38c2ba8ab971","","","42 1f be 65 c1 92 da 84-58 a3 38 c2 ba 8a b9 71","2023-05-11 07:24:21","prd_mid","","","ServiceNow","118","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] DPAApplicationServer/DPAApplicationServer.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","501f7a09-7447-5739-d6b1-7a8b6b11fa63","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","sles12_64Guest","",""
"DataProtection-VCSA","10.123.125.13","idpa-vcenter.ru.ocean.com","On","Other 3.x Linux (64-bit)","false","10,240","VMware Virtual Machine Instance","2","13","","564d505e-2b50-887c-aa9e-a71d88578071","","","56 4d 50 5e 2b 50 88 7c-aa 9e a7 1d 88 57 80 71","2023-05-11 07:24:21","prd_mid","","","ServiceNow","279","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] DataProtection-VCSA/DataProtection-VCSA.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","52a83cce-58cc-5ccd-2cbb-8ff40572fd4a","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","other3xLinux64Guest","",""
"DPC","10.123.125.19","idpa-sysmgr","On","SUSE Linux Enterprise 12 (64-bit)","false","4,096","VMware Virtual Machine Instance","2","2","","421f6659-5711-f74c-e4a9-e0e32877274c","","","42 1f 66 59 57 11 f7 4c-e4 a9 e0 e3 28 77 27 4c","2023-05-11 07:24:21","prd_mid","","","ServiceNow","546","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] DPC/DPC.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","501f7a84-e9f0-865a-5850-b359ce300962","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","sles12_64Guest","",""
"AVProxy","10.123.125.15","idpa-avamarpx","On","SUSE Linux Enterprise 11 (64-bit)","false","4,096","VMware Virtual Machine Instance","4","2","","421f4365-1a5c-29be-7eb9-25375c0e4e04","","","42 1f 43 65 1a 5c 29 be-7e b9 25 37 5c 0e 4e 04","2023-05-11 07:24:21","prd_mid","","","ServiceNow","21","","global","","2023-05-11 07:24:21","","[DP-appliance-datastore] AVProxy_1/AVProxy.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 19:16:19","Operational","","","","","","","","","2023-05-22 19:16:19","prd_mid","2","","","501fd420-f634-bec0-852a-5a0a1e1c8de7","ca834ec9-460f-4743-977e-b09404606f2d","vCenter@10.123.125.13","sles11_64Guest","",""
"AVE","10.125.189.14","idpa-avamar","On","SUSE Linux Enterprise 12 (64-bit)","false","36,864","VMware Virtual Machine Instance","2","4","","42109098-39f4-02e1-e661-8f244eed681a","","","42 10 90 98 39 f4 02 e1-e6 61 8f 24 4e ed 68 1a","2023-05-06 19:02:44","prd_mid","","","ServiceNow","4,769","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] AVE/AVE.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","5010ce00-7c15-39b4-53ff-b5593da33f61","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","sles12_64Guest","",""
"DPAApplicationServer","10.125.189.9","idpa-dpaap","On","SUSE Linux Enterprise 12 (64-bit)","false","16,384","VMware Virtual Machine Instance","4","2","","4210ccc0-d736-e9c4-4336-e34f25c7d62f","","","42 10 cc c0 d7 36 e9 c4-43 36 e3 4f 25 c7 d6 2f","2023-05-06 19:02:44","prd_mid","","","ServiceNow","118","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] DPAApplicationServer/DPAApplicationServer.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","5010c989-2de4-8061-e8fb-ddb164a8237d","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","sles12_64Guest","",""
"DataProtection-ACM","192.168.100.100","idpa-acm","On","SUSE Linux Enterprise 12 (64-bit)","false","8,192","VMware Virtual Machine Instance","4","2","","564db943-ea89-0070-7921-7f5454492564","","","56 4d b9 43 ea 89 00 70-79 21 7f 54 54 49 25 64","2023-05-06 19:02:44","prd_mid","","","ServiceNow","450","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] DataProtection-ACM/DataProtection-ACM.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","52fc0e9d-8f19-fa8e-d4c0-ee35a6b6468e","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","sles12_64Guest","",""
"AVProxy","10.125.189.15","idpa-avamarpx","On","SUSE Linux Enterprise 11 (64-bit)","false","4,096","VMware Virtual Machine Instance","4","2","","4210e799-2d93-7678-9018-565196de31ad","","","42 10 e7 99 2d 93 76 78-90 18 56 51 96 de 31 ad","2023-05-06 19:02:44","prd_mid","","","ServiceNow","21","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] AVProxy_1/AVProxy.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","50101a50-84b4-02c7-cf96-2a37b0d3774f","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","sles11_64Guest","",""
"DDVE","10.125.189.16","idpa-ddmgr.xp.ocean.com","On","Other (64-bit)","false","81,920","VMware Virtual Machine Instance","8","31","","564dfbd8-0f17-81db-ccf7-c5442b732a90","","","56 4d fb d8 0f 17 81 db-cc f7 c5 44 2b 73 2a 90","2023-05-06 19:02:44","prd_mid","","","ServiceNow","115,784","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] DDVE/DDVE.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","5246b1af-e5ef-4197-2c3b-2799a59e594c","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","otherGuest64","",""
"DPADatastoreServer","10.125.189.10","idpa-dpads","On","SUSE Linux Enterprise 12 (64-bit)","false","16,384","VMware Virtual Machine Instance","4","2","","421045a5-d2f7-9a59-151e-253df5c9a161","","","42 10 45 a5 d2 f7 9a 59-15 1e 25 3d f5 c9 a1 61","2023-05-06 19:02:44","prd_mid","","","ServiceNow","118","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] DPADatastoreServer/DPADatastoreServer.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","50108633-0e0e-4ecd-299a-5d715f334346","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","sles12_64Guest","",""
"DataProtection-VCSA","10.125.189.13","idpa-vcenter.xp.ocean.com","On","Other 3.x Linux (64-bit)","false","10,240","VMware Virtual Machine Instance","2","13","","564d4983-3083-0d50-8ec1-fde226ea1704","","","56 4d 49 83 30 83 0d 50-8e c1 fd e2 26 ea 17 04","2023-05-06 19:02:44","prd_mid","","","ServiceNow","279","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] DataProtection-VCSA/DataProtection-VCSA.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","52e0a6bf-b07e-9e51-cf6d-2b452f87dcc1","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","other3xLinux64Guest","",""
"DPC","10.125.189.19","idpa-sysmgr","On","SUSE Linux Enterprise 12 (64-bit)","false","4,096","VMware Virtual Machine Instance","2","2","","42105ac8-2e0b-b647-9263-6be60caa0646","","","42 10 5a c8 2e 0b b6 47-92 63 6b e6 0c aa 06 46","2023-05-06 19:02:44","prd_mid","","","ServiceNow","546","","global","","2023-05-06 19:02:44","","[DP-appliance-datastore] DPC/DPC.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 17:42:22","Operational","","","","","","","","","2023-05-22 17:42:22","prd_mid","4","","","50101bcd-c4e2-1615-62b0-be35479c1d51","1c671482-9406-4c3e-9e6c-c73e6d129413","vCenter@10.125.189.13","sles12_64Guest","",""
"coexchange","172.29.200.137","coexchange.co.cruises.princess.com","On","Microsoft Windows Server 2016 or later (64-bit)","false","16,384","VMware Virtual Machine Instance","8","4","","42223fcb-3ee8-e410-46c7-795403a33d5d","Exchange","","42 22 3f cb 3e e8 e4 10-46 c7 79 54 03 a3 3d 5d","2023-04-29 21:52:57","prd_mid","","","ServiceNow","1,684","","global","","2023-04-29 21:52:57","","[vsan-codc-sc] 7fd3f161-da76-2571-1c08-e4434b2906ea/coexchange.vmx","Installed","Coral Princess","","","","","","","2023-05-11 07:24:02","Operational","","","","","","","","","2023-05-22 17:34:18","eric.sturge","5","","","50220838-bb8a-f62e-e80e-8ce055fe6c37","e083fa50-66e9-45ab-84ac-b8e9ff92f906","vCenter@10.120.66.70","windows9Server64Guest","",""
"GPEXCHANGE","10.10.74.74","gpexchange.gp.cruises.princess.com","On","Microsoft Windows Server 2016 or later (64-bit)","false","16,384","VMware Virtual Machine Instance","8","4","","42074211-9e91-3c78-e91c-dab0be2a724c","Exchange","","42 07 42 11 9e 91 3c 78-e9 1c da b0 be 2a 72 4c","2023-05-11 07:18:23","prd_mid","","","ServiceNow","1,684","","global","","2023-05-11 07:18:23","","[vsan-gpdc-a] 1a97ea62-8cea-7043-ae2c-246e968796f8/gpexchange.vmx","Installed","Regal Princess","","","","","","","2023-05-11 21:10:23","Operational","","","","","","","","","2023-05-22 17:34:11","eric.sturge","2","","","50078bf9-fb87-8b02-3fd6-94a363601b7b","31e0be68-8b0d-403b-ad96-a17a891996e6","vCenter@10.122.194.70","windows9Server64Guest","",""
"RUEXCHANGE","172.29.132.118","ruexchange.ru.cruises.princess.com","On","Microsoft Windows Server 2016 or later (64-bit)","false","32,768","VMware Virtual Machine Instance","8","4","","4233df04-926e-fd6e-4dae-2448b04418a1","Exchange","","42 33 df 04 92 6e fd 6e-4d ae 24 48 b0 44 18 a1","2023-04-30 11:28:49","prd_mid","","","ServiceNow","1,684","","global","","2023-04-30 11:28:49","","[vsan-rudc-b] d8a25d62-fae5-2a16-d0b9-e4434b1d2f0c/ruexchange.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 16:57:42","Operational","","","","","","","","","2023-05-22 17:34:06","eric.sturge","6","","","503343e0-c554-7a4d-1092-bccecf983789","24c9bad8-ed9f-4a86-835d-caa3c6ca3efd","vCenter@10.123.66.70","windows9Server64Guest","",""
"Device42-WDS","10.123.65.252","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","423f0356-e956-73ce-f874-bd5828bbb633","Device 42 Appliance","Princess Cruises","42 3f 03 56 e9 56 73 ce-f8 74 bd 58 28 bb b6 33","2023-04-30 11:28:49","prd_mid","","","ServiceNow","100","","global","","2023-04-30 11:28:49","","[vsan-rudc-b] 6786cf62-84cc-0b29-5355-e4434b2250ec/Device42-WDS.vmx","Installed","Ruby Princess","","","","","","","2023-05-22 16:57:50","Operational","","","","","","","","","2023-05-22 17:32:14","eric.sturge","7","","","503f856a-a8c4-2e04-70d8-78af45803418","24c9bad8-ed9f-4a86-835d-caa3c6ca3efd","vCenter@10.123.66.70","windows9Server64Guest","",""
"Device42-WDS","10.121.193.252","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","421e235c-7589-4ce5-9db7-9d17cfb70162","Device 42 Appliance","Princess Cruises","42 1e 23 5c 75 89 4c e5-9d b7 9d 17 cf b7 01 62","2023-04-29 21:25:50","prd_mid","","","ServiceNow","100","","global","","2023-04-29 21:25:50","","[vsan-apdc-sc] cd26ce62-fe96-091e-c1f1-b026284b6fd0/Device42-WDS.vmx","Installed","Grand Princess","","","","","","","2023-05-20 07:41:24","Operational","","","","","","","","","2023-05-22 17:32:14","eric.sturge","8","","","501eced9-34f7-fa35-6980-9e2d6cf4b3e1","b43689e3-bd4a-4396-ac79-b07192c15cbd","vCenter@10.121.194.70","windows9Server64Guest","",""
"Device42-WDS","10.125.129.252","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","423aa073-72e4-ee86-da45-1a5c42d3d150","Device 42 Appliance","Princess Cruises","42 3a a0 73 72 e4 ee 86-da 45 1a 5c 42 d3 d1 50","2023-04-30 10:25:01","prd_mid","","","ServiceNow","100","","global","","2023-04-30 10:25:01","","[vsan-xpdc-sc] 0b83cf62-84e1-e18f-c0ed-34800dfa0068/Device42-WDS.vmx","Installed","Discovery Princess","","","","","","","2023-05-22 13:16:57","Operational","","","","","","","","","2023-05-22 17:32:14","eric.sturge","8","","","503aa300-af62-d4b4-25eb-9508425e068f","83747bec-e07b-44a8-aa2c-2d5fbf149fa1","vCenter@10.125.130.70","windows9Server64Guest","",""
"Device42-WDS","10.120.1.252","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","422a66f0-09f2-f6f9-c456-669da676eff3","Device 42 Appliance","Princess Cruises","42 2a 66 f0 09 f2 f6 f9-c4 56 66 9d a6 76 ef f3","2023-03-14 14:03:54","prd_mid","","","ServiceNow","100","","global","","2023-03-14 14:03:54","","[vsan-cbdc-sc] e545d062-7c78-7894-3d77-e4434b1dd640/Device42-WDS.vmx","Installed","Caribbean Princess","","","","","","","2023-05-20 07:44:24","Operational","","","","","","","","","2023-05-22 17:32:14","eric.sturge","48","","","502ada1c-c401-6013-c43f-4f2c16933305","2f8ff8db-dde0-48a0-b6ba-67c13bff4cc5","vCenter@10.120.2.70","windows9Server64Guest","",""
"Device42-WDS","10.121.65.252","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","4215d904-2ca7-5030-fcc2-8fd91c3cdff6","Device 42 Appliance","Princess Cruises","42 15 d9 04 2c a7 50 30-fc c2 8f d9 1c 3c df f6","2023-04-30 23:24:56","prd_mid","","","ServiceNow","100","","global","","2023-04-30 23:24:56","","[vsan-epdc-a] 48bee262-7c4d-f840-f490-f4e9d43e8e2a/Device42-WDS.vmx","Installed","Emerald Princess","","","","","","","2023-05-20 08:58:10","Operational","","","","","","","","","2023-05-22 17:32:14","eric.sturge","6","","","5015e5d9-6b03-b04a-8c21-d7a52f01e4bd","70df3d49-6e0d-4572-bd51-791f2fc699f5","vCenter@10.121.66.70","windows9Server64Guest","",""
"Device42-WDS","10.123.129.250","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","423b4f35-7ba9-88ec-094b-522f533b1dba","Device 42 Appliance","Princess Cruises","42 3b 4f 35 7b a9 88 ec-09 4b 52 2f 53 3b 1d ba","2023-05-01 00:16:33","prd_mid","","","ServiceNow","100","","global","","2023-05-01 00:16:33","","[vsan-sa-a] 3d2abf62-1c4d-d9c8-074d-b026284be410/Device42-WDS.vmx","Installed","Sapphire Princess","","","","","","","2023-05-22 16:50:56","Operational","","","","","","","","","2023-05-22 17:31:44","eric.sturge","6","","","503bd842-f9eb-90bd-74c2-92bd1facb7d1","987c5288-8306-47f5-b505-7ac79bcc04b2","vCenter@10.123.130.70","windows9Server64Guest","",""
"Device42-WDS","10.123.1.252","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","42053f63-dca7-b5f8-8317-86141914a65c","Device 42 Appliance","Princess Cruises","42 05 3f 63 dc a7 b5 f8-83 17 86 14 19 14 a6 5c","2023-04-30 11:39:55","prd_mid","","","ServiceNow","100","","global","","2023-04-30 11:39:55","","[vsan-rpdc-sc] cec2d662-9e78-110a-eee4-e4434b2829b8/Device42-WDS.vmx","Installed","Royal Princess","","","","","","","2023-05-22 01:01:25","Operational","","","","","","","","","2023-05-22 17:31:44","eric.sturge","10","","","5005c576-3a92-8f81-afa3-f68a185d19c3","78fd8504-c564-4481-86a8-253dadf4b31c","vCenter@10.123.5.140","windows9Server64Guest","",""
"Device42-WDS","10.125.1.252","d42-vlan11-wds","On","Microsoft Windows Server 2016 or later (64-bit)","false","8,192","VMware Virtual Machine Instance","2","2","","422514fe-3ce5-734f-4ccb-1db4445bed06","Device 42 Appliance","Princess Cruises","42 25 14 fe 3c e5 73 4f-4c cb 1d b4 44 5b ed 06","2023-05-07 10:52:02","prd_mid","","","ServiceNow","100","","global","","2023-05-07 10:52:02","","[vsan-ypdc] 1f0cd262-126b-07e9-11f5-f4e9d46213c0/Device42-WDS.vmx","Installed","Sky Princess","","","","","","","2023-05-22 13:01:59","Operational","","","","","","","","","2023-05-22 17:31:44","eric.sturge","4","","","5025b275-5beb-f424-e794-892ec628cfa2","741f69b6-bd57-4a68-b058-144c23d8b83b","vCenter@10.125.2.70","windows9Server64Guest","",""
